scene,start,end,character
E-23,00:00,00:25,P-27
E-23,00:25,01:03,P-04
E-23,01:03,01:50,P-19
E-23,01:50,02:26,P-12
E-23,02:26,02:33,P-02
E-23,02:33,03:04,P-01
E-23,03:04,03:38,P-19
E-23,03:38,03:55,P-13
E-23,03:55,04:11,P-17
E-23,04:11,04:21,P-27
E-23,04:21,04:54,P-01
E-23,04:54,05:19,P-09
E-23,05:19,05:33,P-16
E-23,05:33,05:54,P-18
E-23,05:54,06:36,P-09
E-23,06:36,08:32,P-16
E-23,08:32,09:15,P-09
E-23,09:15,09:43,P-28
E-23,09:43,10:30,P-22
E-23,10:30,10:42,P-27
E-23,10:42,11:36,P-28
E-23,11:36,11:55,P-25
E-23,11:55,12:35,P-22
E-23,12:35,14:27,P-10
E-23,14:27,14:46,P-18
E-23,14:46,15:32,P-16
E-23,15:32,16:30,P-09
E-23,16:30,16:55,P-18
E-23,16:55,17:48,P-31
E-23,17:48,18:51,P-29
E-23,18:51,19:50,P-11
