id,character,group,audio
1,Luis Fernando Quijano,Ejercito Popular de Liberación,
20,Antonio López,Ejercito de Liberación Nacional,
2,Ildefonso Henao Salazar,Ejercito Popular de Liberación,
4,Raquel Vergara Álvarez,Ejercito Popular de Liberación,
18,Medardo Correa Arboleda,Ejercito de Liberación Nacional-REjercito Popular de LiberaciónANTEAMIENTO,
23,Enrique Flórez,Partido Revolucionario de Colombia,
31,María Aureliana Buendía,Fuerzas Armadas Revolucionarias de Colombia - Ejercito del Pueblo,
34,Griselda Lobo / Sandra Ramírez,Fuerzas Armadas Revolucionarias de Colombia - Ejercito del Pueblo,
14,Arlex Arango,Autodefensas Unidas de Colombia,
15,Manuel de Jesús Pirabán,Autodefensas Unidas de Colombia,
16,Jorge Iván Laverde Zapata,Autodefensas Unidas de Colombia,
17,Alonso Ojeda Awad,Ejercito de Liberación Nacional-REjercito Popular de LiberaciónANTEAMIENTO,
27,Luz Amparo Jiménez,Movimiento 19 de Abril,
11,Rodrigo Pérez Alzate,Autodefensas Unidas de Colombia,
12,Óscar Leonardo Montealegre Beltrán,Autodefensas Unidas de Colombia,
19,Carlos Arturo Velandia Jagua,Ejercito de Liberación Nacional,
24,Gloria Quiceno,Movimiento 19 de Abril,
26,Álvaro Jiménez Millán,Movimiento 19 de Abril,
32,Rodrigo Londoño Echeverri,Fuerzas Armadas Revolucionarias de Colombia - Ejercito del Pueblo,
33,Gabriel Ángel,Fuerzas Armadas Revolucionarias de Colombia - Ejercito del Pueblo,
7,Óscar José Ospino,Autodefensas Unidas de Colombia,
21,Gabriel Barrios,Partido Revolucionario de Colombia,
30,Luis Eduardo Celis Méndez,Corriente de Renovación Socialista,
6,Nodier Giraldo Giraldo,Autodefensas Unidas de Colombia,
10,Iván Roberto Duque Gaviria,Autodefensas Unidas de Colombia,
13,José Eleazar Moreno Sánchez,Autodefensas Unidas de Colombia,
25,Vera Grabe,Movimiento 19 de Abril,
28,Fabio Mariño Vargas,Movimiento 19 de Abril,Preludio_Soy_28.Fabio Mariño Vargas.mp3
8,Edward Cobos Téllez,Autodefensas Unidas de Colombia,Preludio_Soy_7.Edward Cobos Téllez.mp3
9,Freddy Rendón Herrera,Autodefensas Unidas de Colombia,
22,José Matías Ortiz Sarmiento,Partido Revolucionario de Colombia,Preludio_Soy_23.José Matías Ortiz SarmientoJosé Matías Ortiz.mp3
29,Fernando Hernández Valencia,Corriente de Renovación Socialista,Preludio_Soy_29.Fernando Hernández Valencia.mp3
3,Francisco Caraballo,Ejercito Popular de Liberación,Preludio_Soy_2.Francisco_Caraballo.mp3
5,Álvaro Villarraga Sarmiento,Ejercito Popular de Liberación,Preludio_Soy_4.Álvaro Villarraga Sarmiento.mp3
