scene,character
E-01,P-04
E-01,P-05
E-01,P-06
E-01,P-07
E-01,P-08
E-01,P-09
E-01,P-10
E-01,P-11
E-01,P-15
E-01,P-18
E-01,P-20
E-01,P-24
E-01,P-26
E-05,P-01
E-05,P-04
E-05,P-19
E-05,P-20
E-05,P-27
E-06,P-01
E-06,P-04
E-06,P-06
E-06,P-07
E-06,P-08
E-06,P-14
E-06,P-19
E-06,P-20
E-06,P-21
E-06,P-24
E-06,P-28
E-07,P-08
E-07,P-10
E-07,P-12
E-08,P-05
E-08,P-06
E-08,P-23
E-08,P-28
E-10,P-04
E-10,P-07
E-10,P-22
E-10,P-26
E-10,P-27
E-10,P-30
E-11,P-01
E-11,P-07
E-11,P-09
E-11,P-20
E-11,P-23
E-11,P-26
E-11,P-27
E-13,P-04
E-13,P-05
E-13,P-08
E-13,P-22
E-14,P-01
E-14,P-04
E-14,P-06
E-14,P-19
E-14,P-20
E-14,P-23
E-14,P-26
E-16,P-07
E-18,P-01
E-18,P-04
E-18,P-05
E-18,P-07
E-18,P-09
E-18,P-12
E-18,P-16
E-18,P-20
E-18,P-27
E-19,P-18
E-21,P-04
E-21,P-09
E-21,P-12
E-21,P-23
E-21,P-24
E-21,P-25
E-21,P-27
E-21,P-28
E-23,P-01
E-23,P-02
E-23,P-03
E-23,P-04
E-23,P-05
E-23,P-08
E-23,P-09
E-23,P-10
E-23,P-11
E-23,P-12
E-23,P-13
E-23,P-16
E-23,P-17
E-23,P-18
E-23,P-19
E-23,P-22
E-23,P-23
E-23,P-24
E-23,P-25
E-23,P-26
E-23,P-27
E-23,P-28
E-23,P-29
E-23,P-30
E-23,P-31
E-24,P-01
E-24,P-30
E-24,P-31
E-24,P-32
E-25,P-12
E-25,P-13
E-25,P-14
E-25,P-31
E-26,P-01
E-26,P-04
E-26,P-07
E-26,P-08
E-26,P-11
E-26,P-15
